"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HVEGAS001","agoda+priceline | tripcom",2,-377.994175523539,6.80196571229777,0.444719817395741,1.36282169153465e-11,1.56949223603241,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","round",3,383
"HVEGAS001","agoda | priceline+tripcom",2,-378.121227336825,6.67491389901215,0.391659424364332,1.38662152631314e-11,1.57720796306932,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","round",3,383
"HVEGAS001","agoda | priceline | tripcom",3,-378.997858090765,5.79828314507216,0.163001905808405,3.1868143188042e-12,1.53882568444218,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","round",3,383
"HVEGAS001","agoda+priceline+tripcom",1,-384.796141235837,0,0.000494345184254275,0,NA,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","round",3,383
"HVEGAS001","agoda+tripcom | priceline",2,-386.175011337533,-1.37887010169584,0.00012450724724685,1.4972291910266e-11,1.62163686077103,0.5,0,"uniform","2024","leave_out_booking_via_agoda","booking_via_agoda","round",3,383
"HVEGAS001","agoda+booking_via_agoda | tripcom",2,-880.22110886608,33.4666510578617,0.890917139703514,1.72189079793226e-11,1.73856192737092,0.5,0,"uniform","2024","leave_out_priceline","priceline","ceiling",3,977
"HVEGAS001","agoda | booking_via_agoda | tripcom",3,-882.321252569805,31.366507354136,0.10908285405855,1.01334939196793e-11,1.80141402502763,0.5,0,"uniform","2024","leave_out_priceline","priceline","ceiling",3,977
"HVEGAS001","agoda+tripcom | booking_via_agoda",2,-898.998219613762,14.689540310179,6.23794771502859e-09,1.4956346658887e-11,1.96945464651782,0.5,0,"uniform","2024","leave_out_priceline","priceline","ceiling",3,977
"HVEGAS001","agoda+booking_via_agoda+tripcom",1,-913.687759923941,0,2.6028877044081e-15,0,NA,0.5,0,"uniform","2024","leave_out_priceline","priceline","ceiling",3,977
"HVEGAS001","agoda | booking_via_agoda+tripcom",2,-916.283023433221,-2.59526350927968,1.94243641272472e-16,1.26406004579441e-11,2.06997044609267,0.5,0,"uniform","2024","leave_out_priceline","priceline","ceiling",3,977
"HVEGAS001","agoda | booking_via_agoda | tripcom",3,-885.927959966484,61.9512318723072,0.997900824186133,4.99366556022216e-12,1.551811797807,0.5,0,"uniform","2024","leave_out_priceline","priceline","floor",3,977
"HVEGAS001","agoda+tripcom | booking_via_agoda",2,-892.092170279202,55.7870215595893,0.00209896335861029,1.73904507135322e-11,1.75077304680337,0.5,0,"uniform","2024","leave_out_priceline","priceline","floor",3,977
"HVEGAS001","agoda+booking_via_agoda | tripcom",2,-901.290392801593,46.5887990371982,2.12455301353296e-07,1.33863304570257e-11,1.55654442162227,0.5,0,"uniform","2024","leave_out_priceline","priceline","floor",3,977
"HVEGAS001","agoda | booking_via_agoda+tripcom",2,-943.336675231582,4.54251660720956,1.16627006480698e-25,1.73657161382422e-11,1.78662799093461,0.5,0,"uniform","2024","leave_out_priceline","priceline","floor",3,977
"HVEGAS001","agoda+booking_via_agoda+tripcom",1,-947.879191838791,0,1.24167870244461e-27,0,NA,0.5,0,"uniform","2024","leave_out_priceline","priceline","floor",3,977
"HVEGAS001","agoda | booking_via_agoda | tripcom",3,-893.774503114022,36.8532713959395,0.985830979226888,8.32981066837661e-12,1.70115334004792,0.5,0,"uniform","2024","leave_out_priceline","priceline","round",3,977
"HVEGAS001","agoda+booking_via_agoda | tripcom",2,-898.073032761158,32.5547417488036,0.0133959881737247,1.66712182995528e-11,1.68816192072814,0.5,0,"uniform","2024","leave_out_priceline","priceline","round",3,977
"HVEGAS001","agoda+tripcom | booking_via_agoda",2,-900.92542209197,29.7023524179914,0.000773032599405815,1.66734689754084e-11,1.87500159914478,0.5,0,"uniform","2024","leave_out_priceline","priceline","round",3,977
"HVEGAS001","agoda+booking_via_agoda+tripcom",1,-930.627774509961,0,9.74159464224365e-17,0,NA,0.5,0,"uniform","2024","leave_out_priceline","priceline","round",3,977
"HVEGAS001","agoda | booking_via_agoda+tripcom",2,-931.830478604014,-1.20270409405271,2.92618852407642e-17,1.58996036670947e-11,1.92550705765387,0.5,0,"uniform","2024","leave_out_priceline","priceline","round",3,977
"HVEGAS001","agoda+booking_via_agoda+priceline",1,-694.581182135601,0,0.57917542071774,0,NA,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","ceiling",3,789
"HVEGAS001","agoda+booking_via_agoda | priceline",2,-695.354442966334,-0.77326083073342,0.267292769549033,1.43603747706356e-11,1.92794864755121,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","ceiling",3,789
"HVEGAS001","agoda+priceline | booking_via_agoda",2,-696.739258543106,-2.15807640750529,0.0669220825788579,2.9985008656604e-11,2.16163138076256,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","ceiling",3,789
"HVEGAS001","agoda | booking_via_agoda+priceline",2,-696.960082033508,-2.37889989790676,0.0536620209091071,2.99674285988576e-11,2.16662227572469,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","ceiling",3,789
"HVEGAS001","agoda | booking_via_agoda | priceline",3,-697.447865893833,-2.86668375823194,0.03294770624531,9.12346339050308e-11,1.93560067422711,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","ceiling",3,789
"HVEGAS001","agoda+priceline | booking_via_agoda",2,-712.813615311544,15.4843733359808,0.546147758802244,1.64998504208205e-11,1.88993160315251,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","floor",3,789
"HVEGAS001","agoda | booking_via_agoda+priceline",2,-713.497427323401,14.8005613241243,0.275635005808209,1.65402386385085e-11,1.88728199045441,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","floor",3,789
"HVEGAS001","agoda | booking_via_agoda | priceline",3,-713.933502437419,14.3644862101062,0.178217093539146,5.99592767096297e-12,1.75509575469506,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","floor",3,789
"HVEGAS001","agoda+booking_via_agoda+priceline",1,-728.297988647525,0,1.02927698109075e-07,0,NA,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","floor",3,789
"HVEGAS001","agoda+booking_via_agoda | priceline",2,-729.270438960093,-0.972450312567958,3.89226548917964e-08,1.36713080842983e-11,1.87427190446596,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","floor",3,789
"HVEGAS001","agoda+priceline | booking_via_agoda",2,-709.734131319534,4.44784889911057,0.520164285102566,1.39927740887301e-11,2.01681555571012,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","round",3,789
"HVEGAS001","agoda | booking_via_agoda+priceline",2,-710.323431625663,3.85854859298149,0.28854307698447,1.39717378454158e-11,2.01792643247126,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","round",3,789
"HVEGAS001","agoda | booking_via_agoda | priceline",3,-710.780430819827,3.40154939881722,0.182699950833871,7.3098799091588e-12,1.84053672730008,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","round",3,789
"HVEGAS001","agoda+booking_via_agoda+priceline",1,-714.181980218645,0,0.00608785495451167,0,NA,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","round",3,789
"HVEGAS001","agoda+booking_via_agoda | priceline",2,-715.070054297932,-0.888074079287662,0.0025048321246178,1.39769953768751e-11,1.89821108843934,0.5,0,"uniform","2024","leave_out_tripcom","tripcom","round",3,789
"HVEGAS001","agoda+booking_via_agoda+priceline+tripcom",1,-810.531253135518,0,0.281345850458315,0,NA,0.5,0,"uniform","2025","all_sources",NA,"ceiling",4,883
